Voltage	Region 1	Region 2	Region 3	Region 4	Region 5	Region 6	Region 7	Region 8	Region 9	Region 10	Region 11
-390	1.03E-08	2.19E-08	7.04E-09	6.18E-09	8.98E-09	2.88E-08	6.04E-09	5.19E-09	1.46E-08	5.50E-09	4.82E-09
-400	1.03E-08	2.19E-08	7.05E-09	6.20E-09	9.00E-09	2.88E-08	6.05E-09	5.19E-09	1.46E-08	5.51E-09	4.83E-09
-410	1.03E-08	2.20E-08	7.06E-09	6.21E-09	9.02E-09	2.89E-08	6.06E-09	5.20E-09	1.47E-08	5.53E-09	4.84E-09
-420	1.03E-08	2.20E-08	7.07E-09	6.22E-09	9.04E-09	2.89E-08	6.07E-09	5.23E-09	1.47E-08	5.54E-09	4.86E-09
-430	1.04E-08	2.20E-08	7.08E-09	6.23E-09	9.06E-09	2.90E-08	6.07E-09	5.26E-09	1.47E-08	5.56E-09	4.87E-09
-440	1.04E-08	2.21E-08	7.09E-09	6.24E-09	9.07E-09	2.90E-08	6.09E-09	5.28E-09	1.48E-08	5.57E-09	4.88E-09
-450	1.04E-08	2.21E-08	7.11E-09	6.26E-09	9.09E-09	2.91E-08	6.09E-09	5.34E-09	1.48E-08	5.58E-09	4.89E-09
-460	1.04E-08	2.21E-08	7.12E-09	6.27E-09	9.11E-09	2.91E-08	6.09E-09	5.93E-09	1.48E-08	5.59E-09	4.90E-09
-470	1.05E-08	2.22E-08	7.13E-09	6.28E-09	9.13E-09	2.92E-08	6.10E-09	5.97E-09	1.49E-08	5.60E-09	4.91E-09
-480	1.05E-08	2.22E-08	7.14E-09	6.29E-09	9.14E-09	2.92E-08	6.11E-09	5.97E-09	1.49E-08	5.61E-09	4.92E-09
-490	1.05E-08	2.23E-08	7.15E-09	6.30E-09	9.16E-09	2.93E-08	6.11E-09	5.88E-09	1.49E-08	5.62E-09	4.93E-09
-500	1.05E-08	2.23E-08	7.16E-09	6.31E-09	9.18E-09	2.93E-08	6.13E-09	3.21E-08	1.50E-08	5.63E-09	4.95E-09
-510	1.05E-08	2.23E-08	7.17E-09	6.32E-09	9.19E-09	2.94E-08	6.14E-09	5.24E-07	1.50E-08	5.64E-09	4.96E-09
-520	1.06E-08	2.24E-08	7.19E-09	6.33E-09	9.21E-09	2.94E-08	6.15E-09	9.88E-07	1.50E-08	5.65E-09	4.97E-09
-530	1.06E-08	2.24E-08	7.20E-09	6.34E-09	9.22E-09	2.95E-08	6.16E-09	1.50E-06	1.51E-08	5.66E-09	4.98E-09
-540	1.06E-08	2.24E-08	7.21E-09	6.35E-09	9.24E-09	2.95E-08	6.17E-09	2.19E-06	1.51E-08	5.67E-09	4.99E-09
-550	1.06E-08	2.25E-08	7.22E-09	6.36E-09	9.26E-09	2.96E-08	6.18E-09	3.13E-06	1.52E-08	5.68E-09	5.00E-09
-560	1.06E-08	2.25E-08	7.24E-09	6.37E-09	9.27E-09	2.96E-08	6.20E-09	6.70E-06	1.52E-08	5.68E-09	5.01E-09
-570	1.06E-08	2.25E-08	7.25E-09	6.38E-09	9.28E-09	2.96E-08	6.21E-09	1.01E-05	1.52E-08	5.70E-09	5.02E-09
-580	1.07E-08	2.26E-08	7.27E-09	6.40E-09	9.30E-09	2.97E-08	6.23E-09	1.38E-05	1.53E-08	5.70E-09	5.03E-09
-590	1.07E-08	2.26E-08	7.28E-09	6.41E-09	9.31E-09	2.98E-08	6.27E-09	1.75E-05	1.53E-08	5.71E-09	5.04E-09
-600	1.07E-08	2.27E-08	7.29E-09	6.43E-09	9.33E-09	2.98E-08	6.67E-09	2.08E-05	1.53E-08	5.72E-09	5.20E-09
-610	1.07E-08	2.27E-08	7.31E-09	6.44E-09	9.34E-09	2.99E-08	9.87E-09	2.80E-05	1.54E-08	5.74E-09	7.14E-09
-620	1.07E-08	2.27E-08	7.32E-09	6.45E-09	9.36E-09	2.99E-08	2.09E-07	3.27E-05	1.54E-08	5.74E-09	1.66E-08
-630	1.08E-08	2.28E-08	7.33E-09	6.46E-09	9.37E-09	3.00E-08	4.18E-07	3.81E-05	1.55E-08	5.75E-09	2.35E-08
-640	1.08E-08	2.28E-08	7.34E-09	6.48E-09	9.39E-09	3.00E-08	7.92E-07	4.39E-05	1.55E-08	5.76E-09	4.41E-08
-650	1.08E-08	2.29E-08	7.35E-09	6.50E-09	9.40E-09	3.01E-08	1.23E-06		1.55E-08	5.77E-09	5.64E-08
-660	1.08E-08	2.29E-08	7.37E-09	6.51E-09	9.42E-09	3.01E-08	1.89E-06		1.56E-08	5.79E-09	7.56E-08
-670	1.08E-08	2.30E-08	7.38E-09	6.52E-09	9.43E-09	3.02E-08	2.92E-06		1.56E-08	5.80E-09	8.28E-08
-680	1.09E-08	2.30E-08	7.39E-09	6.54E-09	9.45E-09	3.03E-08	5.12E-06		1.57E-08	5.81E-09	1.06E-07
-690	1.09E-08	2.31E-08	7.41E-09	6.55E-09	9.46E-09	3.03E-08	5.74E-06		1.57E-08	5.82E-09	1.50E-07
-700	1.09E-08	2.31E-08	7.42E-09	6.57E-09	9.48E-09	3.04E-08	6.18E-06		1.58E-08	5.83E-09	2.53E-07
